customer_id,signup_date,last_active_date,tenure_days,segment,plan_type,region,device,acquisition_channel,sessions_last_30d,avg_session_duration,feature_usage_score,engagement_score,revenue,lifetime_value,churn,churn_date,churn_reason
C0018,2024-11-04,2025-09-27,327,Individual,Basic,APAC,Desktop,Paid,8,5.1,86,27.2,290.86,847.44,1,2025-10-17,Service Issues
C0019,2024-09-14,2024-10-25,41,Individual,Standard,APAC,Desktop,Organic,22,6.0,27,23.4,74.98,231.0,1,2024-10-28,Service Issues
C0020,2024-12-09,2025-05-25,167,Individual,Basic,US,Desktop,Referral,34,4.64,93,32.3,498.56,941.02,1,2025-06-04,Service Issues
C0021,2024-10-20,2025-08-10,294,Enterprise,Basic,US,Desktop,Referral,49,5.14,17,25.2,224.27,453.81,1,2025-09-01,Better Alternative
C0022,2024-07-10,2025-05-20,314,Individual,Standard,APAC,Desktop,Organic,6,1.14,35,9.3,187.15,472.59,1,2025-05-29,Low Engagement
C0023,2024-10-03,2025-07-25,295,SMB,Basic,EU,Mobile,Organic,14,3.55,32,16.5,360.9,779.98,1,2025-07-26,Price
C0024,2024-06-09,2024-11-09,153,Enterprise,Standard,APAC,Mobile,Referral,19,4.93,63,25.6,194.67,627.04,0,,None
C0025,2024-11-09,2024-12-07,28,Enterprise,Basic,APAC,Mobile,Paid,49,6.7,25,30.3,419.97,1027.89,1,2024-12-16,Price
C0026,2024-01-22,2024-02-18,27,SMB,Basic,EU,Desktop,Organic,24,5.05,47,24.5,238.05,737.75,0,,None
C0027,2024-09-09,2025-06-02,266,SMB,Premium,EU,Mobile,Referral,2,4.04,39,16.4,365.39,972.39,1,2025-06-08,Better Alternative
C0028,2024-08-23,2024-11-18,87,Individual,Standard,US,Mobile,Referral,45,4.49,16,22.6,71.58,218.05,1,2024-11-26,Low Engagement
C0029,2024-12-10,2025-06-12,184,SMB,Basic,US,Desktop,Paid,23,3.18,39,18.4,426.14,922.74,0,,None
C0030,2024-02-18,2024-09-08,203,SMB,Standard,APAC,Desktop,Paid,33,9.32,6,30.8,373.14,1180.18,0,,None
C0031,2024-02-28,2024-06-29,122,Enterprise,Standard,EU,Mobile,Paid,45,5.7,56,31.6,121.62,249.22,0,,None
C0032,2024-06-18,2024-10-19,123,Individual,Standard,US,Mobile,Paid,21,1.12,7,8.0,89.74,232.62,1,2024-10-30,Service Issues
C0033,2024-07-06,2025-02-22,231,Enterprise,Basic,APAC,Desktop,Paid,10,1.18,55,13.2,171.82,331.27,1,2025-03-07,Service Issues
C0034,2024-09-27,2025-03-21,175,Individual,Premium,EU,Desktop,Organic,47,9.76,30,38.3,488.51,1197.36,1,2025-03-25,Better Alternative
C0035,2024-07-08,2025-06-01,328,SMB,Basic,APAC,Desktop,Referral,7,2.99,58,17.6,143.28,306.1,1,2025-06-13,Price
C0036,2024-06-23,2024-11-11,141,Individual,Basic,US,Desktop,Organic,38,8.25,57,36.8,238.94,485.86,1,2024-11-21,Better Alternative
C0037,2024-02-20,2024-11-19,273,SMB,Basic,US,Mobile,Organic,42,1.52,11,13.8,34.41,118.16,1,2024-12-14,Price
C0038,2024-12-29,2025-03-03,64,Individual,Basic,EU,Mobile,Organic,34,9.29,47,37.1,210.67,383.45,0,,None
C0039,2024-02-24,2024-07-13,140,Individual,Premium,APAC,Desktop,Organic,48,8.87,30,36.3,294.23,904.65,1,2024-08-06,Better Alternative
C0040,2024-08-31,2025-06-24,297,SMB,Basic,EU,Mobile,Organic,45,6.14,82,36.6,477.5,1656.13,1,2025-07-15,Price
C0041,2024-11-15,2025-08-17,275,SMB,Basic,US,Mobile,Paid,37,1.08,62,19.4,268.03,412.71,0,,None
C0042,2024-05-10,2024-10-28,171,SMB,Premium,US,Desktop,Paid,7,3.32,73,20.6,413.17,1197.39,1,2024-11-06,Low Engagement
C0043,2024-11-02,2025-02-06,96,SMB,Basic,APAC,Mobile,Referral,36,4.66,38,24.6,282.62,566.89,1,2025-02-16,Low Engagement
C0044,2024-05-14,2024-07-17,64,SMB,Basic,APAC,Mobile,Organic,26,5.14,75,29.3,39.58,62.58,1,2024-07-21,Service Issues
C0045,2024-01-21,2024-11-13,297,Individual,Basic,APAC,Mobile,Referral,27,3.68,19,17.5,171.2,394.75,1,2024-12-12,Low Engagement
C0046,2024-11-24,2025-05-30,187,Enterprise,Basic,EU,Desktop,Paid,39,1.3,47,18.1,296.26,998.53,0,,None
C0047,2024-06-15,2025-06-08,358,SMB,Basic,APAC,Desktop,Paid,33,6.31,70,32.9,476.29,725.64,1,2025-06-25,Price
C0048,2024-09-30,2024-10-17,17,SMB,Standard,APAC,Mobile,Paid,31,5.72,53,28.4,432.38,1156.95,1,2024-11-07,Service Issues
C0049,2024-03-29,2025-02-22,330,SMB,Basic,US,Desktop,Organic,14,3.55,77,23.2,129.61,324.39,1,2025-03-12,Low Engagement
C0050,2024-11-11,2025-09-29,322,Individual,Basic,US,Desktop,Organic,43,1.34,74,23.0,125.65,407.96,0,,None
C0051,2024-01-14,2024-09-26,256,SMB,Standard,APAC,Desktop,Paid,16,9.95,70,38.6,116.56,194.42,0,,None
C0052,2024-08-29,2025-07-27,332,Individual,Standard,APAC,Mobile,Referral,32,5.34,28,24.0,462.8,1325.02,1,2025-08-09,Service Issues
C0053,2024-09-21,2025-06-12,264,Individual,Basic,US,Mobile,Referral,46,7.8,73,39.7,429.28,1227.83,1,2025-06-20,Low Engagement
C0054,2024-12-11,2025-11-13,337,Individual,Standard,APAC,Desktop,Paid,45,5.07,92,35.5,391.94,1112.39,1,2025-11-25,Price
C0055,2024-02-22,2024-04-25,63,Individual,Basic,EU,Mobile,Referral,15,1.39,72,17.3,208.51,705.74,1,2024-05-18,Service Issues
C0056,2024-12-05,2025-08-20,258,SMB,Basic,EU,Mobile,Paid,28,3.79,99,29.9,262.1,824.61,1,2025-09-10,Price
C0057,2024-04-01,2024-12-05,248,Individual,Standard,EU,Mobile,Referral,8,3.88,47,18.3,242.88,384.71,1,2024-12-25,Better Alternative
C0058,2024-09-20,2025-05-16,238,SMB,Basic,APAC,Mobile,Paid,32,8.55,73,38.7,141.63,345.88,1,2025-06-03,Better Alternative
C0059,2024-02-04,2024-04-20,76,SMB,Premium,US,Mobile,Referral,48,6.89,82,39.1,262.41,602.47,0,,None
C0060,2024-07-24,2024-09-22,60,Individual,Basic,APAC,Desktop,Organic,28,3.48,55,22.6,34.64,73.45,1,2024-10-04,Better Alternative
C0061,2024-03-21,2024-07-05,106,Individual,Standard,APAC,Mobile,Paid,12,9.71,94,40.8,83.27,200.07,0,,None
C0062,2024-02-19,2024-05-30,101,Individual,Basic,US,Mobile,Paid,20,3.89,16,16.1,445.56,1010.7,1,2024-06-24,Price
C0063,2024-12-25,2025-09-24,273,SMB,Standard,US,Mobile,Referral,20,9.98,8,30.2,380.81,900.49,1,2025-10-04,Better Alternative
C0064,2024-01-02,2024-10-28,300,SMB,Standard,US,Desktop,Paid,4,9.97,96,40.1,222.98,771.18,0,,None
C0065,2024-02-23,2024-06-07,105,Individual,Premium,EU,Desktop,Paid,9,2.72,33,13.6,268.23,449.89,1,2024-06-27,Low Engagement
C0066,2024-04-15,2024-07-21,97,SMB,Basic,APAC,Desktop,Paid,5,3.81,44,17.1,197.6,660.87,1,2024-08-09,Better Alternative
C0067,2024-09-16,2024-12-12,87,Individual,Standard,US,Mobile,Organic,12,5.37,87,28.9,375.57,924.08,1,2024-12-26,Better Alternative
C0068,2024-11-05,2025-08-29,297,Individual,Standard,APAC,Desktop,Organic,0,6.98,8,18.7,396.41,1089.13,1,2025-09-06,Price
C0069,2024-07-09,2024-11-15,129,Enterprise,Standard,EU,Desktop,Referral,19,5.75,6,19.1,386.38,1221.1,1,2024-11-26,Price
C0070,2024-08-05,2025-06-12,311,SMB,Standard,EU,Desktop,Organic,46,9.72,15,35.8,366.85,814.75,1,2025-07-04,Service Issues
C0071,2024-02-13,2024-08-05,174,Enterprise,Standard,US,Desktop,Referral,45,7.52,18,30.5,118.16,278.96,0,,None
C0072,2024-06-10,2024-12-18,191,SMB,Basic,US,Mobile,Organic,7,2.91,5,9.4,182.23,422.6,1,2024-12-24,Price
C0073,2024-07-20,2025-03-09,232,Individual,Basic,APAC,Desktop,Referral,9,1.95,10,8.2,245.53,552.31,1,2025-03-20,Price
C0074,2024-09-26,2025-08-12,320,Enterprise,Basic,US,Desktop,Organic,8,7.2,75,30.8,178.78,599.1,1,2025-09-10,Low Engagement
C0075,2024-12-16,2025-01-01,16,Individual,Basic,APAC,Mobile,Organic,48,2.43,60,24.7,382.37,1207.47,1,2025-01-25,Price
C0076,2024-10-30,2025-10-04,339,SMB,Premium,US,Mobile,Referral,40,8.09,41,34.4,178.09,305.96,1,2025-10-25,Low Engagement
C0077,2024-09-27,2025-06-26,272,Individual,Standard,APAC,Desktop,Paid,2,3.8,12,11.7,86.35,148.2,1,2025-07-02,Price
C0078,2024-08-02,2025-01-19,170,Enterprise,Premium,APAC,Mobile,Paid,10,3.94,11,13.5,211.54,498.33,1,2025-01-24,Service Issues
C0079,2024-09-08,2025-02-15,160,SMB,Basic,APAC,Desktop,Organic,11,1.1,84,17.6,490.36,832.3,1,2025-02-17,Service Issues
C0080,2024-07-08,2024-10-10,94,SMB,Premium,APAC,Mobile,Referral,9,7.31,73,31.0,128.42,351.64,0,,None
C0081,2024-10-22,2025-03-27,156,Individual,Premium,EU,Mobile,Paid,24,2.02,19,12.7,313.84,560.95,1,2025-03-30,Low Engagement
C0082,2024-07-31,2024-11-29,121,Individual,Standard,APAC,Desktop,Referral,48,7.96,49,36.8,227.83,579.77,0,,None
C0083,2024-07-26,2024-09-09,45,Individual,Standard,US,Mobile,Paid,48,5.43,35,28.4,54.09,81.92,1,2024-10-03,Low Engagement
C0084,2024-08-24,2025-06-14,294,SMB,Basic,EU,Desktop,Referral,24,8.06,91,38.6,254.18,542.21,1,2025-06-22,Price
C0085,2024-12-03,2025-06-18,197,SMB,Premium,EU,Mobile,Organic,10,6.26,87,30.7,357.04,1019.13,0,,None
C0086,2024-02-22,2024-05-23,91,Enterprise,Standard,APAC,Desktop,Referral,35,1.74,68,21.5,266.35,657.37,1,2024-06-13,Low Engagement
C0087,2024-10-06,2024-10-17,11,SMB,Basic,EU,Mobile,Paid,38,7.89,36,32.7,438.61,1516.07,1,2024-10-31,Price
C0088,2024-08-04,2025-06-12,312,Enterprise,Basic,APAC,Mobile,Organic,25,1.63,11,10.7,158.69,515.46,1,2025-06-15,Service Issues
C0089,2024-09-08,2025-04-02,206,Individual,Premium,US,Mobile,Referral,13,5.31,98,30.6,61.4,136.19,1,2025-04-17,Better Alternative
C0090,2024-07-06,2024-07-26,20,Individual,Premium,APAC,Mobile,Paid,38,2.55,39,19.8,469.55,747.04,1,2024-08-10,Price
C0091,2024-02-10,2024-10-10,243,Individual,Premium,EU,Mobile,Organic,39,7.77,53,35.2,201.53,643.13,0,,None
C0092,2024-06-05,2024-12-26,204,Individual,Standard,US,Desktop,Referral,0,9.2,1,23.2,296.67,985.68,1,2025-01-01,Better Alternative
C0093,2024-01-15,2024-05-22,128,SMB,Basic,APAC,Mobile,Paid,3,5.99,49,22.9,400.16,1257.0,0,,None
C0094,2024-10-27,2024-11-25,29,Enterprise,Basic,US,Desktop,Referral,29,5.74,40,26.2,175.67,308.46,1,2024-12-12,Service Issues
C0095,2024-03-05,2024-11-30,270,Enterprise,Basic,US,Desktop,Referral,11,7.88,44,28.5,363.76,1271.64,1,2024-12-22,Service Issues
C0096,2024-12-10,2025-10-08,302,Individual,Basic,EU,Desktop,Organic,34,1.05,8,10.6,85.0,171.46,1,2025-11-04,Low Engagement
C0097,2024-11-22,2025-08-14,265,SMB,Basic,US,Mobile,Organic,12,9.26,61,34.7,159.82,471.21,0,,None
C0098,2024-01-09,2024-08-27,231,Enterprise,Basic,EU,Desktop,Paid,30,2.78,85,25.7,89.46,296.66,0,,None
C0099,2024-12-09,2025-08-01,235,SMB,Basic,US,Mobile,Organic,37,9.86,46,38.9,409.39,807.06,1,2025-08-28,Low Engagement
C0100,2024-05-08,2024-07-09,62,Enterprise,Premium,APAC,Desktop,Paid,42,7.63,4,28.1,126.87,420.77,1,2024-07-24,Service Issues
C0101,2024-05-15,2025-05-14,364,Individual,Basic,US,Desktop,Referral,22,7.97,75,35.6,364.35,772.04,1,2025-05-26,Better Alternative
C0102,2024-03-03,2025-02-17,351,Individual,Premium,APAC,Desktop,Referral,3,6.91,0,17.9,472.78,1632.43,1,2025-03-11,Service Issues
C0103,2024-05-18,2025-03-03,289,SMB,Standard,APAC,Desktop,Paid,15,5.24,43,22.6,273.33,563.75,1,2025-03-13,Low Engagement
C0104,2024-03-21,2024-06-19,90,Individual,Basic,US,Desktop,Referral,6,6.14,21,19.7,279.21,951.23,0,,None
C0105,2024-06-11,2025-01-08,211,Individual,Basic,APAC,Mobile,Organic,21,1.42,37,13.3,241.3,387.79,1,2025-02-05,Price
C0106,2024-10-15,2025-03-31,167,SMB,Basic,US,Desktop,Referral,28,6.62,18,24.8,176.43,514.92,1,2025-04-09,Low Engagement
C0107,2024-09-17,2025-01-24,129,SMB,Basic,US,Desktop,Organic,10,6.63,79,30.4,248.31,636.72,1,2025-01-28,Price
C0108,2024-08-18,2024-10-25,68,SMB,Standard,APAC,Mobile,Paid,32,9.02,30,33.4,309.35,759.69,1,2024-11-09,Low Engagement
C0109,2024-02-10,2024-09-21,224,SMB,Basic,APAC,Mobile,Paid,28,5.55,66,29.4,493.28,960.41,1,2024-10-04,Service Issues
C0110,2024-01-28,2024-06-13,137,Individual,Basic,EU,Mobile,Referral,38,1.69,86,24.7,470.13,1368.64,1,2024-06-21,Low Engagement
C0111,2024-05-14,2025-01-02,233,Enterprise,Basic,APAC,Desktop,Referral,11,3.76,41,17.7,433.83,816.3,0,,None
C0112,2024-07-19,2025-02-22,218,Individual,Premium,EU,Desktop,Organic,6,6.9,81,30.6,446.78,1164.17,1,2025-03-22,Better Alternative
C0113,2024-11-23,2025-03-27,124,SMB,Standard,APAC,Desktop,Organic,38,3.15,25,19.2,244.57,490.73,1,2025-04-15,Price
C0114,2024-09-24,2025-04-30,218,SMB,Standard,US,Desktop,Referral,41,3.52,12,18.8,335.57,1144.71,1,2025-05-16,Better Alternative
C0115,2024-02-02,2024-02-25,23,Enterprise,Basic,APAC,Desktop,Referral,47,8.38,57,38.9,449.63,700.19,1,2024-03-06,Service Issues
C0116,2024-02-17,2024-03-06,18,SMB,Standard,US,Desktop,Paid,25,6.26,17,23.2,208.62,396.26,1,2024-03-07,Low Engagement
C0117,2024-03-02,2024-04-20,49,Enterprise,Standard,US,Mobile,Paid,39,5.58,66,31.6,481.65,955.89,0,,None
C0118,2024-08-03,2025-04-06,246,Individual,Standard,US,Mobile,Paid,8,3.87,86,24.2,219.58,511.21,1,2025-04-24,Better Alternative
C0119,2024-10-19,2025-08-05,290,Enterprise,Premium,EU,Desktop,Referral,40,7.58,2,27.2,308.52,606.38,0,,None
C0120,2024-04-08,2024-11-04,210,Individual,Basic,APAC,Desktop,Referral,33,3.59,54,23.7,360.71,895.53,1,2024-11-15,Low Engagement
C0121,2024-06-20,2025-03-02,255,SMB,Premium,US,Desktop,Referral,44,7.63,88,41.1,476.28,1545.5,0,,None
C0122,2024-12-25,2025-10-08,287,SMB,Premium,US,Desktop,Paid,12,1.63,90,20.0,137.42,401.83,0,,None
C0123,2024-08-01,2025-04-02,244,SMB,Basic,EU,Desktop,Referral,35,8.78,57,37.5,378.14,1005.82,1,2025-04-05,Service Issues
C0124,2024-02-04,2024-02-17,13,Enterprise,Basic,APAC,Mobile,Organic,24,5.5,62,27.8,269.99,453.04,0,,None
C0125,2024-08-14,2025-01-24,163,SMB,Premium,APAC,Mobile,Referral,23,4.95,90,30.5,148.91,430.05,1,2025-02-20,Better Alternative
C0126,2024-04-10,2024-05-18,38,SMB,Basic,EU,Desktop,Referral,43,6.5,51,32.5,392.77,719.88,1,2024-06-15,Low Engagement
C0127,2024-05-10,2024-09-05,118,Enterprise,Standard,EU,Mobile,Referral,16,6.62,88,33.0,285.07,875.94,0,,None
C0128,2024-09-13,2024-12-29,107,SMB,Premium,APAC,Desktop,Referral,1,2.19,23,9.1,337.27,674.58,0,,None
C0129,2024-01-05,2024-08-16,224,SMB,Standard,EU,Desktop,Referral,12,7.81,71,32.6,174.99,408.44,1,2024-08-22,Better Alternative
C0130,2024-08-05,2025-06-03,302,SMB,Basic,APAC,Desktop,Organic,30,3.48,8,15.9,251.01,552.46,1,2025-06-17,Better Alternative
C0131,2024-09-11,2024-12-04,84,Individual,Standard,APAC,Mobile,Organic,28,9.14,36,33.8,316.33,1017.83,0,,None
C0132,2024-12-24,2025-11-24,335,Individual,Basic,US,Mobile,Referral,49,8.36,93,44.6,214.36,375.79,0,,None
C0133,2024-10-09,2025-03-13,155,Enterprise,Standard,US,Desktop,Paid,27,4.12,82,28.0,115.22,303.18,1,2025-03-23,Better Alternative
C0134,2024-07-25,2024-12-09,137,SMB,Basic,APAC,Mobile,Referral,26,8.27,52,33.7,481.59,859.22,0,,None
C0135,2024-01-15,2024-12-30,350,Individual,Standard,APAC,Mobile,Referral,14,4.21,79,25.2,265.5,772.5,1,2025-01-28,Low Engagement
C0136,2024-12-11,2025-01-31,51,Individual,Standard,APAC,Desktop,Referral,30,1.91,23,14.2,372.28,1232.3,1,2025-02-22,Price
C0137,2024-02-11,2024-04-01,50,SMB,Standard,APAC,Mobile,Paid,39,9.66,20,35.0,217.3,514.83,1,2024-04-28,Better Alternative
C0138,2024-06-27,2024-08-09,43,Individual,Standard,APAC,Mobile,Paid,14,6.87,99,34.8,190.46,471.61,1,2024-09-07,Price
C0139,2024-03-03,2024-03-29,26,SMB,Standard,APAC,Desktop,Paid,32,5.1,39,25.0,215.44,722.77,0,,None
C0140,2024-12-17,2025-06-09,174,Enterprise,Standard,EU,Desktop,Organic,19,4.58,61,24.4,216.41,550.11,1,2025-06-21,Better Alternative
C0141,2024-08-18,2025-01-27,162,Individual,Basic,APAC,Mobile,Paid,41,3.92,69,28.4,281.21,696.05,0,,None
C0142,2024-08-28,2024-11-21,85,SMB,Standard,EU,Desktop,Organic,11,9.83,68,37.0,280.87,746.18,1,2024-12-17,Service Issues
C0143,2024-02-21,2024-05-27,96,Individual,Basic,EU,Mobile,Organic,36,2.21,13,14.7,258.63,744.46,1,2024-06-21,Price
C0144,2024-04-05,2024-08-09,126,Individual,Premium,APAC,Desktop,Paid,8,3.83,41,17.3,84.7,145.16,1,2024-08-18,Price
C0145,2024-08-09,2025-07-26,351,Enterprise,Basic,APAC,Desktop,Paid,22,5.37,49,25.2,258.12,811.07,1,2025-07-30,Service Issues
C0146,2024-08-18,2024-09-23,36,SMB,Basic,EU,Desktop,Paid,7,5.3,60,23.6,101.17,239.88,1,2024-10-09,Price
C0147,2024-08-24,2025-07-12,322,SMB,Standard,EU,Desktop,Organic,31,5.24,3,19.8,80.55,132.48,1,2025-08-06,Better Alternative
C0148,2024-05-22,2025-03-14,296,SMB,Basic,APAC,Mobile,Referral,47,2.58,71,26.5,467.67,1436.85,0,,None
C0149,2024-06-19,2024-11-09,143,Individual,Basic,APAC,Desktop,Paid,13,2.3,87,21.4,310.38,699.57,0,,None
C0150,2024-01-29,2024-09-13,228,SMB,Standard,EU,Desktop,Paid,26,3.29,74,24.5,336.56,572.4,1,2024-09-16,Price
C0151,2024-02-05,2024-07-31,177,Enterprise,Standard,EU,Desktop,Paid,24,9.23,16,30.3,212.86,589.1,0,,None
C0152,2024-01-13,2024-04-29,107,Individual,Standard,EU,Mobile,Organic,12,2.02,84,20.0,456.31,1487.69,1,2024-05-02,Low Engagement
C0153,2024-06-08,2025-03-12,277,SMB,Basic,US,Mobile,Organic,20,7.82,56,32.0,326.21,1068.5,1,2025-03-30,Price
C0154,2024-11-22,2025-07-26,246,Individual,Standard,EU,Desktop,Referral,44,7.82,89,41.7,389.2,1329.25,0,,None
C0155,2024-07-05,2025-05-19,318,SMB,Basic,US,Desktop,Paid,30,8.29,47,33.8,196.91,637.08,1,2025-06-16,Low Engagement
C0156,2024-08-30,2025-02-28,182,Individual,Standard,APAC,Desktop,Organic,36,8.98,43,36.1,480.81,723.27,0,,None
C0157,2024-03-26,2024-10-11,199,Enterprise,Standard,APAC,Desktop,Referral,47,3.37,44,24.4,413.82,935.43,1,2024-10-13,Service Issues
C0158,2024-10-10,2025-02-18,131,SMB,Standard,EU,Desktop,Paid,42,3.02,90,29.4,429.9,1348.63,1,2025-03-01,Service Issues
C0159,2024-03-06,2024-04-30,55,SMB,Basic,APAC,Desktop,Organic,4,5.19,79,25.6,102.65,229.17,1,2024-05-03,Better Alternative
C0160,2024-06-18,2024-08-30,73,Enterprise,Basic,APAC,Mobile,Paid,12,3.39,89,24.2,150.06,405.63,1,2024-09-22,Low Engagement
C0161,2024-02-14,2024-07-02,139,Individual,Basic,APAC,Desktop,Paid,27,7.61,32,29.2,157.1,426.15,0,,None
C0162,2024-03-02,2025-01-15,319,Individual,Basic,APAC,Desktop,Organic,42,6.72,30,29.7,150.04,334.6,1,2025-01-24,Better Alternative
C0163,2024-05-13,2024-12-01,202,Individual,Basic,US,Desktop,Organic,24,8.87,46,33.9,430.6,1424.83,1,2024-12-03,Service Issues
C0164,2024-10-10,2025-08-22,316,SMB,Standard,US,Desktop,Organic,34,1.74,5,11.9,35.3,88.48,1,2025-09-10,Low Engagement
C0165,2024-01-28,2024-08-05,190,SMB,Basic,EU,Desktop,Paid,46,9.24,71,43.0,56.53,137.34,1,2024-08-20,Service Issues
C0166,2024-04-17,2025-02-12,301,SMB,Premium,EU,Desktop,Paid,38,3.64,70,27.2,151.48,529.43,0,,None
C0167,2024-02-13,2024-11-30,291,Enterprise,Basic,EU,Mobile,Referral,6,5.42,33,19.7,115.94,288.34,1,2024-12-21,Better Alternative
C0168,2024-12-05,2025-01-12,38,Individual,Standard,APAC,Mobile,Paid,37,4.95,52,27.6,131.29,243.78,1,2025-01-17,Better Alternative
C0169,2024-10-12,2025-03-19,158,Enterprise,Standard,APAC,Mobile,Organic,31,7.84,13,27.8,403.01,1018.06,0,,None
C0170,2024-11-26,2025-08-29,276,SMB,Basic,US,Mobile,Paid,2,4.78,15,14.6,290.3,908.07,1,2025-09-25,Service Issues
C0171,2024-05-07,2025-03-08,305,Enterprise,Basic,US,Mobile,Referral,44,9.49,42,38.8,22.77,69.53,0,,None
C0172,2024-12-13,2025-01-02,20,Individual,Standard,EU,Mobile,Referral,38,9.12,72,41.2,226.07,695.65,1,2025-01-09,Low Engagement
C0173,2024-08-18,2025-02-07,173,Individual,Basic,US,Desktop,Organic,36,8.85,73,40.3,215.78,629.22,1,2025-02-21,Price
C0174,2024-07-08,2024-11-07,122,Individual,Premium,US,Desktop,Organic,49,1.64,80,25.9,74.69,150.01,0,,None
C0175,2024-08-12,2025-02-24,196,SMB,Standard,US,Desktop,Referral,21,8.69,11,27.6,344.55,1110.89,1,2025-02-25,Low Engagement
C0176,2024-10-09,2025-08-09,304,SMB,Premium,US,Desktop,Referral,7,8.03,69,31.8,357.01,1173.45,1,2025-08-26,Price
C0177,2024-04-30,2024-12-27,241,Individual,Basic,US,Desktop,Referral,16,1.93,18,10.7,366.03,691.18,1,2025-01-10,Low Engagement
C0178,2024-04-25,2024-12-17,236,Individual,Standard,EU,Desktop,Organic,26,1.97,40,16.1,369.67,650.96,1,2024-12-25,Service Issues
C0179,2024-08-20,2025-07-05,319,SMB,Standard,EU,Mobile,Referral,32,1.91,52,19.0,20.03,69.13,1,2025-07-19,Better Alternative
C0180,2024-09-15,2024-12-31,107,Individual,Standard,US,Desktop,Referral,45,1.1,28,16.0,477.88,1546.73,1,2025-01-06,Service Issues
C0181,2024-12-24,2025-02-26,64,Individual,Basic,EU,Mobile,Organic,16,5.94,69,28.4,410.82,1350.15,1,2025-02-27,Better Alternative
C0182,2024-07-16,2024-11-13,120,Individual,Standard,APAC,Mobile,Paid,41,9.76,58,41.3,453.91,1485.54,1,2024-12-08,Better Alternative
C0183,2024-05-16,2024-10-24,161,Individual,Basic,US,Desktop,Paid,11,4.95,88,27.8,27.51,71.07,0,,None
C0184,2024-11-13,2025-07-26,255,SMB,Standard,APAC,Desktop,Referral,47,5.87,63,33.5,468.25,1307.73,1,2025-07-27,Service Issues
C0185,2024-06-13,2024-08-30,78,Enterprise,Basic,EU,Desktop,Paid,45,9.71,23,36.7,408.7,1058.83,1,2024-09-02,Better Alternative
C0186,2024-08-12,2025-06-29,321,Enterprise,Premium,EU,Desktop,Paid,26,3.3,88,26.6,421.87,676.01,0,,None
C0187,2024-11-02,2025-08-27,298,Individual,Basic,APAC,Desktop,Paid,47,8.73,15,33.5,64.78,193.76,0,,None
C0188,2024-08-21,2025-05-07,259,Individual,Premium,EU,Desktop,Paid,7,5.92,51,23.8,374.61,940.52,1,2025-05-12,Price
C0189,2024-06-20,2024-08-04,45,Individual,Premium,US,Desktop,Referral,22,6.13,79,31.6,480.76,1343.93,1,2024-08-08,Price
